COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,Number_of_Males_Fully_Vaccinated,Number_of_Females_Fully_Vaccinated,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Fully Vaccinated Children (5-17),Fully Vaccinated Adults (18+),Booster Dose Children (12-17),Booster Dose Adults (18+)
Afghanistan,AFG,EMRO,REPORTING,28/09/2022,11881035,10929549,30.52,28.076,2785097,7460086,10245183,26.318,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",22/02/2021,11,2481042,6.373,7235168,3010015,1766450,714592
Albania,ALB,EURO,REPORTING,18/09/2022,2974247,1336938,103.4,46.977,85889,1177093,1262982,44.378,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",13/01/2021,5,402371,14.095,984433,278549,222624,179747
Algeria,DZA,AFRO,REPORTING,04/09/2022,15267442,7840131,34.817,17.879,2043623,4437563,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",30/01/2021,4,575651,1.313,2775695,3705491,310365,265286
American Samoa,ASM,WPRO,REPORTING,23/08/2022,111316,44885,201.67,81.318,5089,36334,41423,75.046,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21/12/2020,3,24160,43.77,11365,30058,7104,17056
Andorra,AND,EURO,REPORTING,11/09/2022,154235,57894,199.6,75.999,43368,10112,53480,70.205,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",20/01/2021,3,43071,54.497,38888,14592,18392,24679
Angola,AGO,AFRO,REPORTING,04/09/2022,22297104,14220830,67.842,43.269,6324613,1489508,7814121,23.776,SII - Covishield,10/03/2021,1,2985931,9.085,7405361,408760,1904637,1081294
Anguilla,AIA,AMRO,REPORTING,16/09/2022,24102,10846,160.659,72.297,1084,9230,10314,68.751,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",05/02/2021,2,3046,20.304,332,9982,2260,786
Antigua and Barbuda,ATG,AMRO,REPORTING,16/09/2022,136512,64290,139.399,65.65,56346,6038,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,6,9838,10.046,5425,56959,6375,3463
Argentina,ARG,AMRO,REPORTING,16/09/2022,109277682,41285663,241.787,91.349,32817347,4986219,37803566,83.644,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/12/2020,7,30810184,68.17,31211467,6592099,23805507,7004677
Armenia,ARM,EURO,REPORTING,22/05/2022,2150112,1129669,72.6,38.123,648828,336979,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",16/06/2021,8,81354,2.915,870938,114869,75353,6001
